Water System No.,Water System Name,Type,Distribution System Class,Max Treatment Plant Class,Principal County Served,Primary Source Water Type,Lat,Long,project_water
CA3600008,APPLE VALLEY FOOTHILL CWD,C,D1,TD,SAN BERNARDINO  ,GW,,,Neither 
CA3600009,APPLE VALLEY HEIGHTS CWD,C,D1,There are no treatment plants,SAN BERNARDINO  ,GW,,,Neither 
CA3600010,LIBERTY-BELLVIEW HEIGHTS,C,D1,TD,SAN BERNARDINO  ,GW,,,Neither 
CA3600011,GREEN VALLEY CAMPGROUND,NC,NR,There are no treatment plants,SAN BERNARDINO  ,GW,,,Neither 
CA3600012,APPLE VALLEY VIEW MWC,C,D1,There are no treatment plants,SAN BERNARDINO  ,GW,,,Neither 
CA3600022,BAKER COMMUNITY SERVICES DISTRICT,C,D1,There are no treatment plants,SAN BERNARDINO  ,GW,,,Neither 
CA3600025,BAR-LEN MWC,C,D1,There are no treatment plants,SAN BERNARDINO  ,GW,,,Neither 
CA3600027,"BAR ""H"" MWC",C,D1,There are no treatment plants,SAN BERNARDINO  ,GW,,,Neither 
CA3600031,BIG PINE TRACT,C,D1,There are no treatment plants,SAN BERNARDINO  ,GW,,,Neither 
CA3600032,OAK TREE MOUNTAIN,NC,NR,There are no treatment plants,SAN BERNARDINO  ,GW,,,Neither 
CA3600036,CALICO GHOST TOWN,NTNC,D1,T3,SAN BERNARDINO  ,GW,,,Neither 
CA3600044,CAL TRANS - DESERT OASIS,NC,NR,TD,SAN BERNARDINO  ,GW,,,Neither 
CA3600062,CAILLIER WATER SYSTEM,NTNC,D1,T2,SAN BERNARDINO  ,GW,,,Neither 
CA3600063,CAMP ANGELUS TR LAND ASSN,NC,NR,There are no treatment plants,SAN BERNARDINO  ,GW,,,Neither 
CA3600064,CAMP WATERMAN MWC,C,D1,There are no treatment plants,SAN BERNARDINO  ,GW,,,Neither 
CA3600070,CENTER WATER CO,C,D1,There are no treatment plants,SAN BERNARDINO  ,GW,,,Neither 
CA3600071,CHAMISAL MWC,C,D1,There are no treatment plants,SAN BERNARDINO  ,GW,,,Neither 
CA3600086,DAGGETT COMM SVCS DIST,C,D1,There are no treatment plants,SAN BERNARDINO  ,GW,,,Neither 
CA3600087,DEER LODGE WATER SYSTEM,C,D1,T2,SAN BERNARDINO  ,SWP,34.27772652,-117.2109871,SWP
CA3600088,DESERT DAWN MWC,C,D1,There are no treatment plants,SAN BERNARDINO  ,GW,,,Neither 
CA3600089,DESERT SPRINGS MWC,C,D1,There are no treatment plants,SAN BERNARDINO  ,GW,,,Neither 
CA3600094,DOGWOOD BLUE JAY CYN IMP,C,D1,T1,SAN BERNARDINO  ,GW,,,Neither 
CA3600105,LAUREL PINES CAMP,NC,NR,There are no treatment plants,SAN BERNARDINO  ,GW,,,Neither 
CA3600106,FOREST HOME CHRISTIAN CC,NTNC,D1,There are no treatment plants,SAN BERNARDINO  ,GW,,,Neither 
CA3600107,FOREST PARK MWC,C,D1,TD,SAN BERNARDINO  ,GW,,,Neither 
CA3600108,GLEN HELEN WATER SYSTEM,C,D1,There are no treatment plants,SAN BERNARDINO  ,GW,,,Neither 
CA3600114,CSA 70 W-3 HACIENDA,C,D1,TD,SAN BERNARDINO  ,GW,,,Neither 
CA3600123,HI DESERT MWC,C,D1,There are no treatment plants,SAN BERNARDINO  ,GW,,,Neither 
CA3600133,OAK GLEN RETREAT,C,NR,There are no treatment plants,SAN BERNARDINO  ,GW,,,Neither 
CA3600139,JUBILEE MWC,C,D1,There are no treatment plants,SAN BERNARDINO  ,GW,,,Neither 
CA3600141,MITSUBISHI CEMENT PLANT CUSHENBURY,NTNC,D1,There are no treatment plants,SAN BERNARDINO  ,GW,,,Neither 
CA3600149,"OG INVESTMENTS, LLC",NC,NR,There are no treatment plants,SAN BERNARDINO  ,GW,,,Neither 
CA3600152,LOMA LINDA UNIVERSITY,C,D2,T2,SAN BERNARDINO  ,GW,,,Neither 
CA3600154,LOS RIOS RANCHO WATER SYSTEM,NTNC,D1,There are no treatment plants,SAN BERNARDINO  ,GW,,,Neither 
CA3600155,RIVER RANCH MHP,C,D1,TD,SAN BERNARDINO  ,GW,,,Neither 
CA3600156,LUCERNE VALLEY MWC,C,D1,There are no treatment plants,SAN BERNARDINO  ,GW,,,Neither 
CA3600157,LUCERNE VISTA MWC,C,D1,There are no treatment plants,SAN BERNARDINO  ,GW,,,Neither 
CA3600158,LYTLE SPRINGS WC,C,D1,There are no treatment plants,SAN BERNARDINO  ,GW,,,Neither 
CA3600166,MILL CREEK MSC,C,D1,There are no treatment plants,SAN BERNARDINO  ,GUP,,,Neither 
CA3600172,MP MINE OPERATIONS LLC,C,D1,There are no treatment plants,SAN BERNARDINO  ,GW,,,Neither 
CA3600180,NAVAJO MWC,C,D1,There are no treatment plants,SAN BERNARDINO  ,GW,,,Neither 
CA3600183,NIPTON WATER AND POWER,NC,NR,There are no treatment plants,SAN BERNARDINO  ,GW,,,Neither 
CA3600184,NORTH SHORE MWC,C,D1,T2,SAN BERNARDINO  ,GW,,,Neither 
CA3600185,OAK GLEN DOMESTIC WATER,C,D1,There are no treatment plants,SAN BERNARDINO  ,GW,,,Neither 
CA3600187,OLIVE DELL RANCH,C,D1,There are no treatment plants,SAN BERNARDINO  ,GW,,,Neither 
CA3600192,PG & E PIPELINE OPERATION,NTNC,D1,There are no treatment plants,SAN BERNARDINO  ,GW,,,Neither 
CA3600193,PARK MOABI,NTNC,D1,T2,SAN BERNARDINO  ,GW,,,Neither 
CA3600196,CSA 70 W-4 PIONEERTOWN,C,D1,TD,SAN BERNARDINO  ,GW,,,Neither 
CA3600200,RANCHERITOS MWC,C,D1,There are no treatment plants,SAN BERNARDINO  ,GW,,,Neither 
CA3600205,REDLANDS COLONY PIPELINE ASSOCIATION,NC,NR,There are no treatment plants,SAN BERNARDINO  ,GW,,,Neither 
CA3600209,ROCKY COMFORT MUTUAL WATER CO,C,D1,There are no treatment plants,SAN BERNARDINO  ,SWP,34.0731136,-117.0969336,SWP
CA3600215,GILBERT STREET COMPLEX,C,D1,TD,SAN BERNARDINO  ,GW,,,Neither 
CA3600220,CSA 42 ORO GRANDE,C,D1,TD,SAN BERNARDINO  ,GW,,,Neither 
CA3600222,JUNIPER RIVIERA CWD,C,D1,TD,SAN BERNARDINO  ,GW,,,Neither 
CA3600226,CSA 70-F MORONGO,C,D1,TD,SAN BERNARDINO  ,GW,,,Neither 
CA3600257,R W RANCH,NC,NR,TD,SAN BERNARDINO  ,GW,,,Neither 
CA3600258,SKY FOREST MWC,C,D1,There are no treatment plants,SAN BERNARDINO  ,SWP,n/a,n/a,Neither 
CA3600260,SMILEY PARK COUNTRY CLUB,C,D1,T1,SAN BERNARDINO  ,GW,,,Neither 
CA3600262,SNOWCREST HEIGHTS IMP ASSOC,C,D1,There are no treatment plants,SAN BERNARDINO  ,GW,,,Neither 
CA3600270,GOLDEN STATE WATER MORONGO DELNORTE,C,D1,T1,SAN BERNARDINO  ,GW,,,Neither 
CA3600279,GOLDEN STATE WATER DESERT VIEW,C,D1,TD,SAN BERNARDINO  ,GW,,,Neither 
CA3600283,DEPARTMENT OF WATER AND POWER,C,D1,Missing treatment classification in SDWIS,SAN BERNARDINO  ,GW,,,Neither 
CA3600297,GORDON ACRES WATER CO,C,D1,There are no treatment plants,SAN BERNARDINO  ,GW,,,Neither 
CA3600301,STRAWBERRY LODGE MWC,C,D1,There are no treatment plants,SAN BERNARDINO  ,GW,,,Neither 
CA3600306,THUNDERBIRD CWD,C,D1,T1,SAN BERNARDINO  ,GW,,,Neither 
CA3600308,GLEN HELEN TRUCK PARKING FACILITY,NC,D1,There are no treatment plants,SAN BERNARDINO  ,GW,,,Neither 
CA3600321,NPS - HOLE IN THE WALL CAMPGROUND,NC,NR,TD,SAN BERNARDINO  ,GW,,,Neither 
CA3600323,NPS - ZZYZX DESERT STUDIES CENTER,NC,NR,T1,SAN BERNARDINO  ,GW,,,Neither 
CA3600345,WEST END MWC,C,D1,There are no treatment plants,SAN BERNARDINO  ,GW,,,Neither 
CA3600356,RAINBO BEACH,NC,NR,TD,SAN BERNARDINO  ,GW,,,Neither 
CA3600360,SEVEN OAKS MT RESORT MHP,NC,NR,There are no treatment plants,SAN BERNARDINO  ,GW,,,Neither 
CA3600365,RIVERLAND RESORT,NC,NR,T2,SAN BERNARDINO  ,SW,,,Neither 
CA3600367,RIO DEL COLORADO,NC,NR,There are no treatment plants,SAN BERNARDINO  ,GW,,,Neither 
CA3600368,EMERALD COVE RESORT,NC,NR,There are no treatment plants,SAN BERNARDINO  ,GW,,,Neither 
CA3600370,WINDMILL RESORT,NC,NR,T2,SAN BERNARDINO  ,SW,n/a,,Neither 
CA3600371,CALIZONA RV PARK,NC,NR,There are no treatment plants,SAN BERNARDINO  ,GW,,,Neither 
CA3600372,PALMS RIVER RESORT,C,D1,There are no treatment plants,SAN BERNARDINO  ,GW,,,Neither 
CA3600375,RIVER LODGE RESORT,NC,NR,There are no treatment plants,SAN BERNARDINO  ,GW,,,Neither 
CA3600376,BIG BEND RESORT,NC,NR,T2,SAN BERNARDINO  ,SW,,,Neither 
CA3600377,ECHO LODGE RESORT,NC,NR,There are no treatment plants,SAN BERNARDINO  ,GW,,,Neither 
CA3600378,SUNSHINE RESORT,NC,NR,There are no treatment plants,SAN BERNARDINO  ,GW,,,Neither 
CA3600380,BLACK MEADOW LANDING,NC,NR,There are no treatment plants,SAN BERNARDINO  ,GW,,,Neither 
CA3600382,MWD OF SO CAL IRON MOUNTAIN,C,D1,T2,SAN BERNARDINO  ,SW,n/a,,Neither 
CA3600383,MWD OF SO CAL GENE PLANT,C,D1,T2,SAN BERNARDINO  ,SW,n/a,,Neither 
CA3600384,BONITA RANCH RV CAMPGROUND,NC,NR,There are no treatment plants,SAN BERNARDINO  ,GW,,,Neither 
CA3600385,BROOKSIDE MHP,C,D1,There are no treatment plants,SAN BERNARDINO  ,GW,,,Neither 
CA3600386,FOOTHILL ESTATES MHP,C,D1,There are no treatment plants,SAN BERNARDINO  ,GW,,,Neither 
CA3600393,LONE WOLF COLONY,NC,D1,There are no treatment plants,SAN BERNARDINO  ,GW,,,Neither 
CA3600395,BIG BEAR SHORES RV RESORT,NC,NR,Missing treatment classification in SDWIS,SAN BERNARDINO  ,GW,,,Neither 
CA3600397,MOSS MOBILE MANOR,C,D1,There are no treatment plants,SAN BERNARDINO  ,GW,,,Neither 
CA3600399,PARADISE MOBILE ESTATES,C,D1,TD,SAN BERNARDINO  ,GW,,,Neither 
CA3600400,APPLE VALLEY VILLAGE MHE,C,D1,There are no treatment plants,SAN BERNARDINO  ,GW,,,Neither 
CA3600404,SHADY LANE RV CAMP,NC,NR,There are no treatment plants,SAN BERNARDINO  ,GW,,,Neither 
CA3600406,NEWBERRY MOUNTAIN RV & MOTEL,NC,NR,There are no treatment plants,SAN BERNARDINO  ,GW,,,Neither 
CA3600409,BARSTOW CALICO KOA,NC,NR,There are no treatment plants,SAN BERNARDINO  ,GW,,,Neither 
CA3600412,LIGHTHOUSE TRAILER RESORT,NC,NR,There are no treatment plants,SAN BERNARDINO  ,GW,,,Neither 
CA3600432,LUCERNE VALLEY ELEMENTARY SCHOOL,NTNC,D1,There are no treatment plants,SAN BERNARDINO  ,GW,,,Neither 
CA3600446,UPPER LITTLE BEAR MOUNTAIN CLUB,C,D1,There are no treatment plants,SAN BERNARDINO  ,GW,,,Neither 
CA3600452,LUCERNE VALLEY PARKS & RECREATION,NC,NR,There are no treatment plants,SAN BERNARDINO  ,GW,,,Neither 
CA3600453,APPLE VALLEY HORSEMAN CENTER,NC,NR,There are no treatment plants,SAN BERNARDINO  ,GW,,,Neither 
CA3600478,LYTLE CREEK ADMINISTRATION SITE,NTNC,D1,There are no treatment plants,SAN BERNARDINO  ,GW,,,Neither 
CA3600481,HANNA FLATS CAMPGROUND,NC,NR,There are no treatment plants,SAN BERNARDINO  ,GW,,,Neither 
CA3600483,BIG PINE FLATS ADMIN & RECREATION,NC,NR,There are no treatment plants,SAN BERNARDINO  ,GW,,,Neither 
CA3600485,FALLS PICNIC WATER SYSTEM,NC,NR,There are no treatment plants,SAN BERNARDINO  ,GW,,,Neither 
CA3600490,CRAB FLATS CAMPGROUND,NC,NR,There are no treatment plants,SAN BERNARDINO  ,GW,,,Neither 
CA3600500,STATELINE SERVICES INC,NC,NR,There are no treatment plants,SAN BERNARDINO  ,GW,,,Neither 
CA3600504,KNOLL ENTERPRISES,C,D1,There are no treatment plants,SAN BERNARDINO  ,GW,,,Neither 
CA3600509,SLASH X RANCH CAFE,NC,NR,There are no treatment plants,SAN BERNARDINO  ,GW,,,Neither 
CA3600510,AMERICAN LEGION POST 751,NC,NR,There are no treatment plants,SAN BERNARDINO  ,GW,,,Neither 
CA3600512,RILEYS PLACE,NC,NR,There are no treatment plants,SAN BERNARDINO  ,GW,,,Neither 
CA3600513,PEGGY SUE'S DINER,NC,NR,There are no treatment plants,SAN BERNARDINO  ,GW,,,Neither 
CA3600524,BARN THE,NC,NR,There are no treatment plants,SAN BERNARDINO  ,GW,,,Neither 
CA3600530,YMCA CAMP ARBOLADO,NC,NR,T2,SAN BERNARDINO  ,SW,n/a,,Neither 
CA3600532,CAMP ALANDALE AT SKY MEADOWS,NC,NR,TD,SAN BERNARDINO  ,GW,,,Neither 
CA3600534,DE BENNEVILLE PINES,NC,NR,There are no treatment plants,SAN BERNARDINO  ,GW,,,Neither 
CA3600536,CAMP LA VERNE,NC,NR,There are no treatment plants,SAN BERNARDINO  ,GW,,,Neither 
CA3600537,YMCA CAMP TA TA POCHON,NC,NR,There are no treatment plants,SAN BERNARDINO  ,GW,,,Neither 
CA3600538,CAMP CEDAR FALLS,NC,NR,T2,SAN BERNARDINO  ,SW,,,Neither 
CA3600540,PALMS,NC,NR,There are no treatment plants,SAN BERNARDINO  ,GW,,,Neither 
CA3600554,MOOSE LODGE 2096,NC,NR,There are no treatment plants,SAN BERNARDINO  ,GW,,,Neither 
CA3600568,JOSHUA INN,NC,NR,There are no treatment plants,SAN BERNARDINO  ,GW,,,Neither 
CA3600585,THOUSAND PINES CHRISTIAN,NTNC,D1,There are no treatment plants,SAN BERNARDINO  ,GW,,,Neither 
CA3600586,CEDAR LAKE CAMP INC,NC,NR,There are no treatment plants,SAN BERNARDINO  ,GW,,,Neither 
CA3600587,CAMP OSITO RANCHO,NC,NR,There are no treatment plants,SAN BERNARDINO  ,GW,,,Neither 
CA3600588,YMCA CAMP WHITTLE,NC,NR,There are no treatment plants,SAN BERNARDINO  ,GW,,,Neither 
CA3600589,HOLCOMB VALLEY RANCH,NC,NR,There are no treatment plants,SAN BERNARDINO  ,GW,,,Neither 
CA3600593,CAMP CEDAR CREST,NC,NR,There are no treatment plants,SAN BERNARDINO  ,GW,,,Neither 
CA3600595,CALVARY CHAPEL CHRISTIAN CAMP,NC,NR,There are no treatment plants,SAN BERNARDINO  ,GW,,,Neither 
CA3600596,PONDEROSA PINES CHRISTIAN CAMP,NC,NR,There are no treatment plants,SAN BERNARDINO  ,GW,,,Neither 
CA3600597,PALI OVERNIGHT ADVENTURES,NTNC,D1,T2,SAN BERNARDINO  ,GW,,,Neither 
CA3600600,CAMP GILBOA,NC,NR,There are no treatment plants,SAN BERNARDINO  ,GW,,,Neither 
CA3600601,FOREST LAWN SCOUT RESERVATION,NC,NR,Missing treatment classification in SDWIS,SAN BERNARDINO  ,GW,,,Neither 
CA3600602,ALPINE RETREAT AND CAMP,NC,NR,There are no treatment plants,SAN BERNARDINO  ,GW,,,Neither 
CA3600604,DOVID OVED RETREAT CENTER,NC,NR,There are no treatment plants,SAN BERNARDINO  ,GW,,,Neither 
CA3600608,TWENTYNINE PALMS INN,NC,NR,There are no treatment plants,SAN BERNARDINO  ,GW,,,Neither 
CA3600613,VIDAL CHEVRON,NC,NR,There are no treatment plants,SAN BERNARDINO  ,GW,,,Neither 
CA3600620,MOUNTAIN STREAMS RV PARK,NC,NR,There are no treatment plants,SAN BERNARDINO  ,GW,,,Neither 
CA3600704,CHURCH OF SPIRITUAL TECHNOLOGY,NC,NR,There are no treatment plants,SAN BERNARDINO  ,GW,,,Neither 
CA3600707,SNOW SUMMIT,NTNC,D4,There are no treatment plants,SAN BERNARDINO  ,GW,,,Neither 
CA3600756,SOUTHERN CALIFORNIA BLENDING CENTER INC,NC,NR,There are no treatment plants,SAN BERNARDINO  ,GW,,,Neither 
CA3600760,LOCH LEVEN CHRISTIAN CAMP & CONFERENCE C,NC,NR,There are no treatment plants,SAN BERNARDINO  ,GW,,,Neither 
CA3600765,SNOW VALLEY MOUNTAIN RESORT,NC,NR,There are no treatment plants,SAN BERNARDINO  ,GW,,,Neither 
CA3600767,CAMP TAHQUITZ,NC,NR,There are no treatment plants,SAN BERNARDINO  ,GW,,,Neither 
CA3600768,INSTITUTE OF MENTAL PHYSICS,NC,NR,T2,SAN BERNARDINO  ,GW,,,Neither 
CA3600770,CRAZZY'S WASEWAGAN CAMP,NC,NR,T2,SAN BERNARDINO  ,SW,,,Neither 
CA3600771,CAMP ALANDALE,NC,NR,TD,SAN BERNARDINO  ,GW,,,Neither 
CA3600776,MT BALDY SKI LIFT,NC,NR,There are no treatment plants,SAN BERNARDINO  ,GW,,,Neither 
CA3600777,CAMP ROUND MEADOW,NC,NR,There are no treatment plants,SAN BERNARDINO  ,GW,,,Neither 
CA3600783,WOODCRAFT RANGERS,NC,NR,There are no treatment plants,SAN BERNARDINO  ,GW,,,Neither 
CA3600785,LAKE JODIE WATER SYSTEM,C,D1,There are no treatment plants,SAN BERNARDINO  ,GW,,,Neither 
CA3600790,NEWBERRY ELEMENTARY SCHOOL,NTNC,D1,There are no treatment plants,SAN BERNARDINO  ,GW,,,Neither 
CA3600797,AERONAUTICAL SYSTEMS,NTNC,D1,There are no treatment plants,SAN BERNARDINO  ,GW,,,Neither 
CA3601004,NEEDLES KOA,NC,NR,There are no treatment plants,SAN BERNARDINO  ,GW,,,Neither 
CA3601006,JOSHUA TREE LAKE RV/CAMP,NC,NR,There are no treatment plants,SAN BERNARDINO  ,GW,,,Neither 
CA3601010,CRYSTAL LAKE PROPERTY OWNERS,C,D1,There are no treatment plants,SAN BERNARDINO  ,GW,,,Neither 
CA3601012,SOSAS WATER SYSTEM,NC,NR,There are no treatment plants,SAN BERNARDINO  ,GW,,,Neither 
CA3601013,DARR WATER CO,NTNC,D1,T2,SAN BERNARDINO  ,GW,,,Neither 
CA3601015,IRONWOOD CAMP,C,D1,T2,SAN BERNARDINO  ,GW,,,Neither 
CA3601016,THE HIGH ADOBE,NC,NR,There are no treatment plants,SAN BERNARDINO  ,GW,,,Neither 
CA3601019,BAGDAD CAFE,NC,NR,There are no treatment plants,SAN BERNARDINO  ,GW,,,Neither 
CA3601020,SILVERWOOD JAPANESE RESTAURANT SUSHI & G,NC,NR,There are no treatment plants,SAN BERNARDINO  ,GW,,,Neither 
CA3601027,APPLE VALLEY FAITH CENTER,NC,NR,There are no treatment plants,SAN BERNARDINO  ,GW,,,Neither 
CA3601029,LAKE  WAINANI OWNERS ASSOC,NC,NR,There are no treatment plants,SAN BERNARDINO  ,GW,,,Neither 
CA3601036,CALICO LAKE HOMEOWNERS,C,D1,There are no treatment plants,SAN BERNARDINO  ,GW,,,Neither 
CA3601037,PARRISH RANCH,NC,NR,There are no treatment plants,SAN BERNARDINO  ,GW,,,Neither 
CA3601040,HIDDEN ACRES,NC,NR,There are no treatment plants,SAN BERNARDINO  ,GW,,,Neither 
CA3601045,BEAR VALLEY MHP,C,D1,There are no treatment plants,SAN BERNARDINO  ,GW,,,Neither 
CA3601047,WRIGHTWOOD COUNTRY CLUB,NC,NR,There are no treatment plants,SAN BERNARDINO  ,GW,,,Neither 
CA3601048,BARTON FLATS WATER SYSTEM,C,D1,T2,SAN BERNARDINO  ,SW,n/a,,Neither 
CA3601052,NEWBERRY SPRINGS SENIOR CENTER,NC,NR,There are no treatment plants,SAN BERNARDINO  ,GW,,,Neither 
CA3601057,MOUNTAIN VIEW CONTINUATION SCHOOL,NTNC,D1,There are no treatment plants,SAN BERNARDINO  ,GW,,,Neither 
CA3601061,CALPORTLAND ORO GRANDE PLANT,NTNC,D1,There are no treatment plants,SAN BERNARDINO  ,GW,,,Neither 
CA3601062,CEMEX CALIF CEMENT LLC VV,NTNC,D1,There are no treatment plants,SAN BERNARDINO  ,GW,,,Neither 
CA3601064,"OMYA CALIFORNIA, A DIVISION OF OMYA INC",NTNC,D1,There are no treatment plants,SAN BERNARDINO  ,GW,,,Neither 
CA3601070,CADIZ INC,NC,NR,TD,SAN BERNARDINO  ,GW,,,Neither 
CA3601077,BEST WESTERN CAJON PASS,NC,NR,There are no treatment plants,SAN BERNARDINO  ,GW,,,Neither 
CA3601082,CASTLE MOUNTAIN MINE,NTNC,D1,There are no treatment plants,SAN BERNARDINO  ,GW,,,Neither 
CA3601085,RANCHO PINO VERDE,C,D1,There are no treatment plants,SAN BERNARDINO  ,GW,,,Neither 
CA3601095,LUCERNE VALLEY HIGH SCHOOL,NTNC,D1,There are no treatment plants,SAN BERNARDINO  ,GW,,,Neither 
CA3601096,CAL TRANS - C.V. KANE,NC,NR,T2,SAN BERNARDINO  ,GW,,,Neither 
CA3601097,CAL TRANS - VALLEY WELLS,NC,NR,TD,SAN BERNARDINO  ,GW,,,Neither 
CA3601098,CAL TRANS - FENNER,NC,NR,TD,SAN BERNARDINO  ,GW,,,Neither 
CA3601100,NEWBERRY MINI MART AND TRUCK STOP,NC,NR,There are no treatment plants,SAN BERNARDINO  ,GW,,,Neither 
CA3601101,NEWBERRY CHEVRON,NC,NR,There are no treatment plants,SAN BERNARDINO  ,GW,,,Neither 
CA3601105,HI SAHARA OASIS,NC,NR,There are no treatment plants,SAN BERNARDINO  ,GW,,,Neither 
CA3601106,HITCHIN LUCERNE INC,NTNC,D1,There are no treatment plants,SAN BERNARDINO  ,GW,,,Neither 
CA3601107,SAN ANTONIO WINERY,NC,NR,There are no treatment plants,SAN BERNARDINO  ,GW,,,Neither 
CA3601108,HOLLAND BURGER CAFE,NC,NR,There are no treatment plants,SAN BERNARDINO  ,GW,,,Neither 
CA3601109,KELLY'S MARKET,NC,NR,There are no treatment plants,SAN BERNARDINO  ,GW,,,Neither 
CA3601112,PINE RIDGE TREATMENT CENTER,NC,NR,There are no treatment plants,SAN BERNARDINO  ,GW,,,Neither 
CA3601113,SS HERT TRUCKING INC,NC,NR,There are no treatment plants,SAN BERNARDINO  ,GW,,,Neither 
CA3601115,EL MIRAGE MARKET,NC,NR,There are no treatment plants,SAN BERNARDINO  ,GW,,,Neither 
CA3601121,PETROLINK HWY 138 INC,NC,NR,There are no treatment plants,SAN BERNARDINO  ,GW,,,Neither 
CA3601122,PRIMM VALLEY GOLF CLUB,NTNC,D1,There are no treatment plants,SAN BERNARDINO  ,GW,,,Neither 
CA3601128,EMPIRE LANDING CAMPGROUND-SUNDANCE RV,NC,NR,T2,SAN BERNARDINO  ,SW,n/a,,Neither 
CA3601130,CEMEX CALIF CEMENT LLC AV,NTNC,D1,There are no treatment plants,SAN BERNARDINO  ,GW,,,Neither 
CA3601131,BURGER KING #9310,NC,NR,There are no treatment plants,SAN BERNARDINO  ,GW,,,Neither 
CA3601133,WAGON TRAIN ROAD LLC,NTNC,D1,TD,SAN BERNARDINO  ,GW,,,Neither 
